sampleTimeStamp.microseconds;calculatedSteeringAngle;
1584543232610380;0;
1584543232813132;0;
1584543232909471;0;
1584543233009617;0;
1584543233109481;0;
1584543233211544;0;
1584543233309404;0;
1584543153026567;0;
1584543153527171;0;
1584543153627059;0;
1584543153726937;0;
1584543153824849;0;
1584543153924685;0;
1584543154024633;0;
1584543154125140;0;
1584543154226883;-0.196223;
1584543154324615;-0.196223;
1584543154427245;-0.196223;
1584543154524661;0;
1584543154625490;0;
1584543154726542;0;
1584543154824699;0;
1584543154924791;0;
1584543155024622;0;
1584543155124660;0;
1584543155230154;0;
1584543155324559;0;
1584543155424526;0;
1584543155524320;0;
1584543155625483;0;
1584543155726937;0;
1584543155824256;0;
1584543155924467;0;
1584543156027088;0;
1584543156124496;0;
1584543156226583;0;
1584543156324612;0;
1584543156425245;0;
1584543156524355;0;
1584543156624896;0;
1584543156726057;0;
1584543156827240;0;
1584543156924110;0;
1584543157024046;0;
1584543157124190;0;
1584543157225964;0;
1584543157323968;0;
1584543157424131;0;
1584543157523936;-0.20556;
1584543157624792;0;
1584543157726186;0;
1584543157823950;-0.1646;
1584543157923955;-0.17259;
1584543158024150;-0.200561;
1584543158123962;-0.186579;
1584543158225965;-0.166992;
1584543158324029;-0.144847;
1584543158423960;-0.16452;
1584543158523887;-0.170601;
1584543158625049;0;
1584543158725863;0;
1584543158823937;-0.159047;
1584543158923935;-0.210207;
1584543159023732;-0.0940078;
1584543159123900;-0.112507;
1584543159226086;-0.0953784;
1584543159323608;-0.0642875;
1584543159424094;-0.105552;
1584543159523941;-0.117683;
1584543159624597;0.159454;
1584543159725498;-0.0926022;
1584543159823916;-0.0658194;
1584543159923893;-0.0750309;
1584543160023702;-0.07275;
1584543160123880;-0.115066;
1584543160225528;-0.0946232;
1584543160323703;-0.0740944;
1584543160426724;0;
1584543160523644;-0.0790716;
1584543160624063;-0.130179;
1584543160726031;0;
1584543160823369;0;
1584543160923305;0;
1584543161023901;0;
1584543161123679;0;
1584543161230099;0;
1584543161324087;0;
1584543161423220;0;
1584543161523282;0;
1584543161624367;0;
1584543161725378;0;
1584543161823435;0;
1584543161923272;0;
1584543162023121;0;
1584543162123252;0;
1584543162225450;0;
1584543162323322;0;
1584543162423001;0;
1584543162523582;0;
1584543162623600;0;
1584543162725145;0;
1584543162823317;0;
1584543162922881;0;
1584543163022852;0;
1584543163123027;0;
1584543163225186;0;
1584543163322807;0;
1584543163422946;0;
1584543163522727;0;
1584543163623407;0;
1584543163725035;0;
1584543163822699;0;
1584543163922666;0;
1584543164022820;0;
1584543164125310;0;
1584543164230181;0;
1584543164323081;0;
1584543164422577;0;
1584543164522551;0;
1584543164623376;0;
1584543164724669;0;
1584543164822515;0;
1584543164922664;0;
1584543165022455;0;
1584543165122525;0;
1584543165224889;0;
1584543165322466;0;
1584543165422395;0;
1584543165522665;0;
1584543165623109;0;
1584543165728985;0;
1584543165822549;0;
1584543165922304;0;
1584543166022267;0;
1584543166122506;0;
1584543166224484;0;
1584543166322485;0;
1584543166422565;0;
1584543166525138;-0.236942;
1584543166626262;-0.227334;
1584543166725755;0;
1584543166822204;0;
1584543166922442;0;
1584543167022669;0;
1584543167122301;-0.157086;
1584543167224209;0;
1584543167322854;-0.119621;
1584543167422067;-0.123516;
1584543167522071;-0.127453;
1584543167622945;0.9;
1584543167725298;-0.052677;
1584543167822154;-0.9;
1584543167922114;-0.836598;
1584543168021936;-0.109841;
1584543168124766;-0.0443794;
1584543168224773;-0.0788688;
1584543168321937;-0.572648;
1584543168422194;0;
1584543168522063;-0.0607246;
1584543168622776;0;
1584543168724343;0;
1584543168822071;0;
1584543168922030;0;
1584543169021928;0;
1584543169122362;0;
1584543169224065;0;
1584543169321904;0;
1584543169422125;0;
1584543169521871;0;
1584543169625544;0;
1584543169724795;0;
1584543169821630;0;
1584543169921651;0;
1584543170021694;0;
1584543170121665;0;
1584543170223659;0;
1584543170321820;0;
1584543170424400;0;
1584543170524693;0;
1584543170622671;0;
1584543170723513;0;
1584543170821443;-0.884089;
1584543170921629;0;
1584543171021362;0;
1584543171121331;0;
1584543171223556;0;
1584543171321311;0;
1584543171421385;0;
1584543171521948;0;
1584543171622053;0;
1584543171723503;0;
1584543171821523;0;
1584543171921462;0;
1584543172021257;0;
1584543172121341;0;
1584543172223223;0;
1584543172321124;0;
1584543172421305;0;
1584543172521101;0;
1584543172621673;0;
1584543172723294;0;
1584543172821063;0;
1584543172920946;0;
1584543173021183;0;
1584543173120899;0;
1584543173223060;0;
1584543173321119;0;
1584543173420890;0;
1584543173524239;0;
1584543173621860;0;
1584543173723554;0;
1584543173820762;0;
1584543173921092;-0.146443;
1584543174020807;-0.149876;
1584543174120779;0;
1584543174222990;0;
1584543174323784;0;
1584543174420641;-0.239625;
1584543174520794;0;
1584543174621714;0;
1584543174722903;0;
1584543174820805;-0.116977;
1584543174920746;0;
1584543175021081;0;
1584543175123766;0;
1584543175223100;0;
1584543175320656;0;
1584543175420814;0;
1584543175520444;0;
1584543175621161;0;
1584543175722754;0;
1584543175820398;-0.134677;
1584543175920619;0;
1584543176020691;0;
1584543176120545;0;
1584543176222857;0;
1584543176320527;-0.108641;
1584543176420267;0;
1584543176520465;0;
1584543176624285;0;
1584543176722994;-0.159454;
1584543176820412;-0.161892;
1584543176920366;-0.154222;
1584543177020677;0;
1584543177120259;-0.206375;
1584543177222172;-0.231986;
1584543177320166;-0.202918;
1584543177423233;-0.209685;
1584543177520823;-0.786901;
1584543177620773;-0.105208;
1584543177721941;-0.12308;
1584543177820558;-0.132079;
1584543177919971;-0.137608;
1584543178019932;-0.128043;
1584543178120339;0;
1584543178225735;-0.141305;
1584543178320288;-0.151675;
1584543178420260;-0.165044;
1584543178520023;-0.149456;
1584543178620489;-0.140362;
1584543178721862;-0.140362;
1584543178820087;-0.168584;
1584543178920692;-0.190577;
1584543179019919;-0.842894;
1584543179119704;0.871376;
1584543179221614;-0.650952;
1584543179319866;-0.175256;
1584543179419918;-0.18939;
1584543179519623;0;
1584543179620471;0;
1584543179725058;-0.221903;
1584543179822411;-0.198225;
1584543179920320;-0.198852;
1584543180019792;0;
1584543180119522;-0.214768;
1584543180221619;0;
1584543180319490;0.689625;
1584543180419464;0;
1584543180519659;0;
1584543180620095;0;
1584543180721331;-0.327352;
1584543180819596;-0.339675;
1584543180919368;-0.332317;
1584543181019437;0;
1584543181119583;0;
1584543181221242;-0.394725;
1584543181319523;-0.658978;
1584543181419468;-0.374762;
1584543181519362;-0.429399;
1584543181620046;-0.433054;
1584543181721338;0;
1584543181819233;0;
1584543181919488;0;
1584543182019537;0;
1584543182119273;-0.762005;
1584543182221073;0;
1584543182319520;-0.572648;
1584543182419368;-0.442361;
1584543182519086;0;
1584543182619932;-0.270956;
1584543182720857;0;
1584543182819054;-0.238753;
1584543182919198;-0.125288;
1584543183019088;-0.133925;
1584543183119045;-0.159454;
1584543183221416;0.64006;
1584543183319207;0;
1584543183419179;-0.101799;
1584543183519505;0;
1584543183619719;-0.0743141;
1584543183722047;-0.070284;
1584543183819310;-0.0708121;
1584543183919395;-0.0759464;
1584543184019122;0.857636;
1584543184119065;0;
1584543184220832;0;
1584543184319157;0;
1584543184418936;-0.0389168;
1584543184518724;-0.0882038;
1584543184619549;-0.0860647;
1584543184720568;-0.0986581;
1584543184819010;-0.411859;
1584543184922048;-0.175256;
1584543185019029;0;
1584543185118610;0;
1584543185220245;0.0552754;
1584543185318812;-0.0284947;
1584543185418665;0.107131;
1584543185518764;0;
1584543185619528;0;
1584543185720703;0;
1584543185819061;0;
1584543185919185;0;
1584543186018835;0;
1584543186118430;0;
1584543186220685;0;
1584543186318510;0;
1584543186418349;0;
1584543186618990;0;
1584543186720501;0;
1584543186818449;0;
1584543186918228;0;
1584543187018510;0;
1584543187120916;0;
1584543187220739;0;
1584543187318413;0;
1584543187418372;0;
1584543187518136;0;
1584543187619028;0;
1584543187720345;0;
1584543187818388;0;
1584543187920668;0;
1584543188021156;-0.288866;
1584543188118187;-0.289092;
1584543188220302;0;
1584543188318288;0;
1584543188418174;0;
1584543188517917;-0.196378;
1584543188618744;0;
1584543188720064;0;
1584543188821004;0;
1584543188920085;0;
1584543189017878;0;
1584543189117852;-0.173005;
1584543189220056;-0.199831;
1584543189318229;-0.148399;
1584543189417775;-0.153661;
1584543189518133;0;
1584543189618813;0;
1584543189725021;-0.114588;
1584543189818041;-0.133392;
1584543189918400;-0.131269;
1584543190018678;-0.102348;
1584543190117855;-0.116788;
1584543190220400;-0.390939;
1584543190317692;0;
1584543190417817;-0.0950436;
1584543190517775;-0.102722;
1584543190618199;0;
1584543190719964;0;
1584543190817690;0;
1584543190917447;0;
1584543191017802;0;
1584543191117637;0;
1584543191219853;0;
1584543191317862;0;
1584543191417604;0;
1584543191517409;0;
1584543191618173;0;
1584543191719585;0;
1584543191817399;0;
1584543191920859;0;
1584543192017861;0;
1584543192117222;0;
1584543192219876;-0.168803;
1584543192317436;0;
1584543192417111;-0.173261;
1584543192517427;0;
1584543192618050;0;
1584543192719427;0;
1584543192817229;0;
1584543192917064;0;
1584543193017201;0;
1584543193117295;0;
1584543193219238;0;
1584543193316964;0;
1584543193417187;0;
1584543193517127;0;
1584543193617877;0;
1584543193719389;0;
1584543193816911;0;
1584543193916881;0;
1584543194017049;0;
1584543194116856;0;
1584543194219092;0;
1584543194316962;0;
1584543194416762;0;
1584543194516752;0;
1584543194617581;0;
1584543194718887;0;
1584543194817306;0;
1584543194917033;0;
1584543195016665;0;
1584543195116661;0;
1584543195218912;0;
1584543195316599;0;
1584543195416579;-0.113551;
1584543195519407;0;
1584543195620548;-0.137695;
1584543195718871;-0.733008;
1584543195816876;-0.115674;
1584543195916667;-0.107945;
1584543196016478;0.715651;
1584543196116667;0.265651;
1584543196218536;-0.0825039;
1584543196316665;-0.0822158;
1584543196418935;0;
1584543196617637;-0.0795753;
1584543196718916;-0.104375;
1584543196816352;0;
1584543196916345;0;
1584543197016465;0;
1584543197116323;0;
1584543197218552;0;
1584543197316664;0;
1584543197416178;0;
1584543197516275;0;
1584543197617017;0;
1584543197718160;0;
1584543197816267;0;
1584543197916280;0;
1584543198018981;0;
1584543198116235;0;
1584543198218619;0;
1584543198316001;0;
1584543198416002;0;
1584543198516214;0;
1584543198616632;0;
1584543198717999;0;
1584543198819659;0;
1584543198918215;0;
1584543199016267;0;
1584543199116210;0;
1584543199217930;0;
1584543199316048;0;
1584543199416428;0;
1584543199515803;0;
1584543199616422;0;
1584543199718439;0;
1584543199815800;0;
1584543199916003;0;
1584543200015983;0;
1584543200115991;0;
1584543200217899;0;
1584543200316310;0;
1584543200418744;0;
1584543200516207;0;
1584543200617192;0;
1584543200718154;0;
1584543200815680;0;
1584543200915873;0;
1584543201015503;-0.0837303;
1584543201115635;0;
1584543201221473;0;
1584543201316673;0;
1584543201415522;0;
1584543201515709;0;
1584543201616118;0;
1584543201717776;0;
1584543201816091;0;
1584543201916255;0;
1584543202018843;0;
1584543202115436;-0.117147;
1584543202217633;0;
1584543202315380;0;
1584543202415658;0;
1584543202515532;0;
1584543202616413;0;
1584543202717554;-0.12139;
1584543202815545;-0.0756532;
1584543202915168;-0.0743141;
1584543203015539;0;
1584543203115262;0;
1584543203217441;0;
1584543203315333;0;
1584543203415176;0;
1584543203515024;0;
1584543203615812;0;
1584543203716842;0;
1584543203814951;-0.109541;
1584543203915103;-0.116788;
1584543204014914;0;
1584543204114905;-0.132059;
1584543204216876;0;
1584543204314840;-0.0773737;
1584543204414876;-0.0968235;
1584543204515402;-0.110261;
1584543204615479;-0.131906;
1584543204716590;-0.116115;
1584543204815300;-0.138101;
1584543204914743;-0.145345;
1584543205014674;0;
1584543205115144;0.681986;
1584543205216350;-0.222856;
1584543205314628;-0.212826;
1584543205414961;0;
1584543205514628;0;
1584543205615231;0;
1584543205716541;0;
1584543205814545;-0.811193;
1584543205914544;-0.403999;
1584543206014652;-0.482519;
1584543206114673;0;
1584543206216205;-0.431221;
1584543206314577;0.254077;
1584543206414660;-0.609454;
1584543206514348;0;
1584543206615269;0.746939;
1584543206716049;0.801342;
1584543206814354;0.676713;
1584543206914460;0;
1584543207014281;0.619755;
1584543207114232;-0.120306;
1584543207216106;-0.439191;
1584543207314220;-0.329052;
1584543207414209;0.135479;
1584543207514371;-0.51009;
1584543207614867;0.0634019;
1584543207719358;0.0197493;
1584543207814532;0.169275;
1584543207914322;-0.0328088;
1584543208014230;0.156422;
1584543208114281;-0.0054696;
1584543208215711;0.119761;
1584543208314128;0;
1584543208414476;0.0228102;
1584543208514247;0;
1584543208614928;0;
1584543208715938;0.102733;
1584543208814242;0;
1584543208914031;0;
1584543209014119;0;
1584543209114228;0;
1584543209219230;0.740546;
1584543209316587;-0.143814;
1584543209414331;-0.76293;
1584543209514123;0;
1584543209614674;0;
1584543209715934;-0.193741;
1584543209814030;0;
1584543209914237;0;
1584543210014049;0;
1584543210114024;0;
1584543210216034;0;
1584543210313778;-0.321612;
1584543210413910;0;
1584543210514352;0;
1584543210614384;0;
1584543210715709;0;
1584543210813902;0;
1584543210914054;0;
1584543211014074;0;
1584543211114027;-0.19113;
1584543211215890;-0.212912;
1584543211313767;0;
1584543211413817;-0.142159;
1584543211513502;0;
1584543211614194;-0.106698;
1584543211715679;-0.0988266;
1584543211813542;-0.185106;
1584543211913574;-0.0952002;
1584543212014064;-0.086308;
1584543212113414;-0.0407113;
1584543212215670;-0.0982528;
1584543212314462;-0.132405;
1584543212413403;-0.0739168;
1584543212513698;-0.0625034;
1584543212614208;-0.0905536;
1584543212716100;0;
1584543212813596;0;
1584543212913546;0;
1584543213013474;0;
1584543213113176;0;
1584543213215946;0;
1584543213313755;0;
1584543213413288;0;
1584543213513282;0;
1584543213616985;0;
1584543213715311;0;
1584543213813276;0;
1584543213913092;0;
1584543214013346;0;
1584543214113222;0;
1584543214215261;0;
1584543214312961;0;
1584543214416009;0;
1584543214513246;0;
1584543214613881;0;
1584543214715242;0;
1584543214813419;0;
1584543214913065;0;
1584543215013088;0;
1584543215112796;0;
1584543215218993;0;
1584543215313652;0;
1584543215412783;-0.29859;
1584543215512894;-0.300049;
1584543215613764;-0.232323;
1584543215715025;0;
1584543215812904;0;
1584543215913228;0;
1584543216015444;0;
1584543216115990;0;
1584543216215873;0;
1584543216313782;0;
1584543216412920;0;
1584543216513472;0;
1584543216613798;0;
1584543216715166;-0.211048;
1584543216812652;0;
1584543216912756;0;
1584543217012529;0;
1584543217112921;0;
1584543217214694;0;
1584543217312785;0;
1584543217412822;0;
1584543217512415;0;
1584543217615826;-0.0903948;
1584543217714941;-0.103284;
1584543217812656;-0.0334682;
1584543217912243;-0.04895;
1584543218012442;-0.0730576;
1584543218112218;0;
1584543218214340;0;
1584543218312531;0;
1584543218412537;0;
1584543218512110;0;
1584543218612925;0;
1584543218714591;0;
1584543218812368;0;
1584543218912191;0;
1584543219012052;0;
1584543219112362;0;
1584543219214256;0;
1584543219312502;0;
1584543219412444;0;
1584543219512182;0;
1584543219613237;0;
1584543219713912;0;
1584543219812187;0;
1584543219915037;0;
1584543220011805;0;
1584543220112125;0;
1584543220214143;0;
1584543220311719;0;
1584543220411889;0;
1584543220511735;0;
1584543220612369;0;
1584543220717907;0;
1584543220811925;0;
1584543220911619;0;
1584543221011773;0;
1584543221111578;0;
1584543221213655;0;
1584543221311700;0;
1584543221411545;-0.212505;
1584543221511552;0;
1584543221612551;-0.190108;
1584543221713555;-0.528153;
1584543221811545;0;
1584543221911641;0;
1584543222011470;-0.152551;
1584543222111426;0;
1584543222213620;-0.135232;
1584543222311440;-0.154463;
1584543222411596;0;
1584543222511613;0;
1584543222612258;0;
1584543222713426;-0.168584;
1584543222811474;0;
1584543222911478;0;
1584543223011303;-0.0385064;
1584543223111440;-0.155449;
1584543223213377;0;
1584543223311403;-0.121792;
1584543223411469;-0.111738;
1584543223511565;-0.113099;
1584543223615264;-0.17354;
1584543223714025;-0.108082;
1584543223811339;-0.143593;
1584543223911628;-0.119908;
1584543224012072;-0.133925;
1584543224111178;-0.127677;
1584543224213779;-0.174472;
1584543224311264;-0.19692;
1584543224411274;-0.133245;
1584543224511072;0;
1584543224611813;-0.063905;
1584543224712650;-0.116336;
1584543224810880;-0.634349;
1584543224911098;0;
1584543225010843;-0.0613726;
1584543225110918;-0.140362;
1584543225212779;-0.13134;
1584543225311127;-0.171917;
1584543225410896;-0.155615;
1584543225511004;-0.20487;
1584543225611494;-0.207387;
1584543225712681;-0.192653;
1584543225813764;-0.232473;
1584543225911023;-0.207387;
1584543226011044;0;
1584543226110867;-0.262948;
1584543226212740;0;
1584543226310639;-0.21218;
1584543226410831;-0.443097;
1584543226510587;-0.404622;
1584543226611344;-0.360274;
1584543226712603;0;
1584543226810541;0;
1584543226910469;-0.733499;
1584543227010694;0;
1584543227110427;0;
1584543227212388;0;
1584543227310623;0;
1584543227410379;0;
1584543227510352;0;
1584543227611736;0;
1584543227712318;0;
1584543227810585;0;
1584543227910464;0;
1584543228010310;-0.140362;
1584543228110658;0;
1584543228212906;0;
1584543228310326;-0.0765065;
1584543228410569;-0.0679788;
1584543228510487;-0.0826996;
1584543228610875;0.401009;
1584543228715870;0.165044;
1584543228810895;0.145345;
1584543228910154;0.0357633;
1584543229010074;0.21541;
1584543229110313;0.385007;
1584543229211828;0;
1584543229310142;0.128043;
1584543229410367;0;
1584543229513031;-0.00338357;
1584543229614049;0.00271542;
1584543229712498;0.0494301;
1584543229809973;0.233177;
1584543229910212;0;
1584543230010202;0;
1584543230110286;0;
1584543230211871;0;
1584543230310003;0;
1584543230413384;0;
1584543230509983;0;
1584543230611153;0;
1584543230711896;0;
1584543230809784;0;
1584543230909976;0;
1584543231009815;0;
1584543231109645;0;
1584543231211873;0;
1584543231309709;0;
1584543231409659;0;
1584543231509845;0;
1584543231610248;0;
1584543231711684;0;
1584543231809698;0;
1584543231912139;0;
1584543232009600;0;
1584543232109745;0;
1584543232212094;0;
1584543232309636;0;
1584543232410325;0;
1584543232509829;0;
1584543232610380;0;
1584543232715029;0;
1584543232813132;0;
1584543232909471;0;
1584543233009617;0;
1584543233109481;0;
1584543233211544;0;
1584543233309404;0;
